"session_id","student_id","topic_id","game_mode","opponent_id","created_at","correct_answers","wrong_answers","total_questions","winner","time_taken","points"
"613","50","8","practice",,"2025-06-04 08:30:15.313652","20","46","10","true","27","2"
"610","38","9","computer","computer","2025-06-04 08:30:10.664187","10","19","11","true","4","5"
"605","40","9","practice",,"2025-06-04 08:29:22.84949","10","7","10","true","38","2"
"604","30","8","computer","computer","2025-06-04 08:29:20.5241","13","23","17","true","30","5"
"603","37","9","practice",,"2025-06-04 08:29:15.95","10","8","10","true","86","2"
"602","50","8","practice",,"2025-06-04 08:29:13.251362","21","40","10","true","18","2"
"601","47","8","pvp","43","2025-06-04 08:29:13.234588","8","13","27","false","76","0"
"600","43","8","pvp","47","2025-06-04 08:29:13.104721","18","24","27","true","76","7"
"596","42","9","practice",,"2025-06-04 08:28:54.060936","10","0","10","true","90","3"
"595","38","9","computer","computer","2025-06-04 08:28:50.955553","10","43","11","true","9","5"
"593","50","8","practice",,"2025-06-04 08:28:50.605101","22","60","10","true","22","2"
"591","48","8","practice",,"2025-06-04 08:28:34.11658","11","2","10","true","96","2"
"589","2","8","pvp","41","2025-06-04 08:28:27.41566","21","7","42","true","120","5"
"588","41","8","pvp","2","2025-06-04 08:28:27.299954","20","36","42","false","120","0"
"587","46","8","practice",,"2025-06-04 08:28:08.518749","10","0","10","true","63","3"
"585","42","9","practice",,"2025-06-04 08:28:04.409574","13","25","10","true","36","2"
"584","49","8","practice",,"2025-06-04 08:28:01.564492","10","5","10","true","43","2"
"583","37","9","practice",,"2025-06-04 08:27:57.24466","10","0","10","true","47","3"
"582","39","8","pvp","45","2025-06-04 08:27:57.078033","7","3","25","false","117","0"
"581","45","8","pvp","39","2025-06-04 08:27:56.974041","17","22","25","true","117","7"
"579","40","9","practice",,"2025-06-04 08:27:53.318119","10","4","10","true","34","2"
"578","47","8","pvp","43","2025-06-04 08:27:26.087515","10","8","31","false","86","0"
"577","43","8","pvp","47","2025-06-04 08:27:25.972433","20","23","31","true","86","7"
"576","50","8","practice",,"2025-06-04 08:27:13.493751","25","34","10","true","82","2"
"574","37","9","practice",,"2025-06-04 08:27:10.049291","11","3","10","true","45","2"
"571","49","9","pvp","38","2025-06-04 08:26:54.898528","13","71","37","false","68","0"
"570","38","9","pvp","49","2025-06-04 08:26:54.797294","23","66","37","true","120","5"
"567","42","9","practice",,"2025-06-04 08:26:46.972693","18","55","10","true","51","2"
"566","46","8","practice",,"2025-06-04 08:26:46.386597","18","43","10","true","55","2"
"562","37","9","practice",,"2025-06-04 08:26:31.308552","11","8","10","true","35","2"
"561","50","8","practice",,"2025-06-04 08:26:24.51992","19","28","10","true","44","2"
"560","49","8","practice",,"2025-06-04 08:26:17.673085","11","0","10","true","60","3"
"559","48","8","computer","computer","2025-06-04 08:26:06.152696","10","13","11","true","15","5"
"558","30","9","pvp","38","2025-06-04 08:26:05.20809","3","22","17","false","28","0"
"557","38","9","pvp","30","2025-06-04 08:26:05.031514","13","21","17","true","120","5"
"556","42","9","computer","computer","2025-06-04 08:26:00.814581","11","20","13","true","22","5"
"555","37","9","practice",,"2025-06-04 08:25:59.133157","11","10","10","true","31","2"
"553","2","8","pvp","41","2025-06-04 08:25:45.85837","9","4","28","false","120","0"
"552","41","8","pvp","2","2025-06-04 08:25:45.7305","18","18","28","true","120","5"
"551","48","8","computer","computer","2025-06-04 08:25:40.357901","10","15","11","true","12","5"
"550","39","8","pvp","45","2025-06-04 08:25:33.441235","5","2","21","false","101","0"
"549","45","8","pvp","39","2025-06-04 08:25:33.327407","15","16","21","true","101","7"
"547","40","8","pvp","49","2025-06-04 08:25:30.624404","0","2","4","true","120","5"
"546","37","9","practice",,"2025-06-04 08:25:22.394803","19","30","10","true","25","2"
"545","49","9","computer","computer","2025-06-04 08:25:21.473808","13","39","17","true","28","5"
"542","49","9","computer","computer","2025-06-04 08:25:01.596862","11","26","13","true","19","5"
"541","47","8","pvp","43","2025-06-04 08:24:38.705492","14","14","38","false","120","0"
"540","43","8","pvp","47","2025-06-04 08:24:38.585696","23","19","38","true","120","5"
"539","49","9","computer","computer","2025-06-04 08:24:37.732827","12","38","15","true","20","5"
"538","50","8","pvp","48","2025-06-04 08:24:01.337205","21","89","33","true","77","7"
"537","48","8","pvp","50","2025-06-04 08:24:01.131529","11","39","33","true","120","5"
"535","49","8","computer","computer","2025-06-04 08:23:43.704262","10","22","11","true","8","5"
"533","36","8","pvp","37","2025-06-04 08:23:34.906356","16","38","38","true","120","5"
"532","2","8","pvp","41","2025-06-04 08:23:30.564177","10","2","26","false","120","0"
"531","41","8","pvp","2","2025-06-04 08:23:30.452473","15","19","26","true","120","5"
"530","49","8","computer","computer","2025-06-04 08:23:25.124748","10","46","11","true","15","5"
"529","49","8","pvp","40","2025-06-04 08:23:19.967377","20","21","43","false","120","0"
"528","40","8","pvp","49","2025-06-04 08:23:19.859926","22","34","43","true","120","5"
"527","2","8","pvp","45","2025-06-04 08:22:58.682766","14","4","30","false","120","0"
"526","45","8","pvp","2","2025-06-04 08:22:58.580049","15","19","30","true","120","5"
"525","49","8","computer","computer","2025-06-04 08:22:39.182195","12","20","15","true","20","5"
"523","38","9","computer","computer","2025-06-04 08:22:37.347355","10","27","11","true","8","5"
"522","48","8","pvp","50","2025-06-04 08:22:37.345536","7","38","20","true","120","5"
"521","42","9","computer","computer","2025-06-04 08:22:31.429443","7","15","11","true","120","3"
"520","38","9","computer","computer","2025-06-04 08:22:29.50082","10","31","11","true","7","5"
"517","47","8","pvp","43","2025-06-04 08:22:16.810896","21","23","44","false","120","0"
"516","43","8","pvp","47","2025-06-04 08:22:16.545849","22","20","44","true","120","5"
