"session_id","student_id","topic_id","game_mode","opponent_id","created_at","correct_answers","wrong_answers","total_questions","winner","time_taken","points"
"261","37","9","practice",,"2025-06-04 07:55:25.963134","10","2","10","true","132","2"
"262","38","9","practice",,"2025-06-04 07:55:26.005493","12","0","10","true","102","3"
"263","41","9","practice",,"2025-06-04 07:55:26.336676","10","6","10","true","143","2"
"264","42","9","practice",,"2025-06-04 07:55:26.401268","10","2","10","true","140","2"
"265","46","9","practice",,"2025-06-04 07:55:26.506684","10","1","10","true","80","2"
"266","48","9","practice",,"2025-06-04 07:55:26.569471","12","11","10","true","134","2"
"267","40","9","practice",,"2025-06-04 07:55:26.642574","10","18","10","true","52","2"
"268","36","9","practice",,"2025-06-04 07:55:26.782151","16","11","10","true","172","2"
"269","50","9","practice",,"2025-06-04 07:55:26.84551","10","7","10","true","92","2"
"270","47","9","practice",,"2025-06-04 07:55:26.987353","12","17","10","true","82","2"
"271","30","9","practice",,"2025-06-04 07:55:27.498308","10","4","10","true","70","2"
"272","49","9","practice",,"2025-06-04 07:55:27.62897","10","3","10","true","72","2"
"273","45","9","practice",,"2025-06-04 07:55:28.432795","10","11","10","true","140","2"
"274","43","9","practice",,"2025-06-04 07:55:29.613737","10","2","10","true","79","2"
"275","39","9","practice",,"2025-06-04 07:55:30.489122","12","1","10","true","174","2"
"276","40","9","practice",,"2025-06-04 07:56:36.459851","10","10","10","true","41","2"
"277","30","9","practice",,"2025-06-04 07:56:40.083545","10","3","10","true","54","2"
"278","47","9","practice",,"2025-06-04 07:56:50.223152","14","8","10","true","126","2"
"279","49","9","practice",,"2025-06-04 07:57:16.766414","10","3","10","true","56","2"
"280","43","9","practice",,"2025-06-04 07:57:17.440382","10","3","10","true","102","2"
"281","46","9","practice",,"2025-06-04 07:57:17.556058","10","5","10","true","99","2"
"282","50","9","practice",,"2025-06-04 07:57:18.374753","10","4","10","true","141","2"
"283","38","9","practice",,"2025-06-04 07:57:19.57497","11","6","10","true","92","2"
"284","40","9","practice",,"2025-06-04 07:57:19.650896","10","5","10","true","54","2"
"285","30","9","practice",,"2025-06-04 07:57:41.233857","10","0","10","true","53","3"
"286","48","9","practice",,"2025-06-04 07:57:48.241026","10","4","10","true","94","2"
"287","45","9","practice",,"2025-06-04 07:57:54.231413","10","3","10","true","89","2"
"288","41","9","practice",,"2025-06-04 07:57:56.305781","10","8","10","true","98","2"
"289","42","9","practice",,"2025-06-04 07:57:57.208109","10","3","10","true","113","2"
"290","37","9","practice",,"2025-06-04 07:58:02.516543","10","6","10","true","117","2"
"291","40","9","practice",,"2025-06-04 07:58:16.761239","10","10","10","true","70","2"
"292","36","9","practice",,"2025-06-04 07:58:23.721099","13","2","10","true","94","2"
"293","49","9","practice",,"2025-06-04 07:58:25.145532","12","4","10","true","80","2"
"294","39","9","practice",,"2025-06-04 07:58:35.746864","10","4","10","true","178","2"
"295","47","9","practice",,"2025-06-04 07:59:02.660192","13","26","10","true","39","2"
"296","48","9","practice",,"2025-06-04 07:59:26.262143","10","8","10","true","107","2"
"298","38","9","practice",,"2025-06-04 07:59:28.04887","13","19","10","true","121","2"
"299","40","9","practice",,"2025-06-04 07:59:28.344341","10","6","10","true","43","2"
"300","46","9","practice",,"2025-06-04 07:59:32.377781","10","2","10","true","80","2"
"301","45","9","practice",,"2025-06-04 07:59:33.730188","11","10","10","true","126","2"
"302","41","9","practice",,"2025-06-04 07:59:37.03918","10","2","10","true","84","2"
"303","50","9","practice",,"2025-06-04 07:59:39.527297","10","4","10","true","132","2"
"305","47","9","practice",,"2025-06-04 07:59:49.610755","10","0","10","true","76","3"
"306","42","9","practice",,"2025-06-04 07:59:53.007777","11","6","10","true","101","2"
"307","36","9","practice",,"2025-06-04 08:00:03.527273","14","6","10","true","158","2"
"309","37","9","practice",,"2025-06-04 08:00:07.090786","11","19","10","true","138","2"
"310","40","9","practice",,"2025-06-04 08:00:13.813738","17","37","10","true","20","2"
"311","30","9","practice",,"2025-06-04 08:00:18.523238","10","0","10","true","44","3"
"312","43","9","practice",,"2025-06-04 08:00:19.954227","10","7","10","true","126","2"
"313","40","9","practice",,"2025-06-04 08:00:38.028064","10","2","10","true","42","2"
"315","41","9","practice",,"2025-06-04 08:01:04.761796","10","10","10","true","105","2"
"316","48","9","practice",,"2025-06-04 08:01:18.43169","11","8","10","true","80","2"
"317","46","9","practice",,"2025-06-04 08:01:21.483934","20","21","10","true","55","2"
"318","40","9","practice",,"2025-06-04 08:01:23.380092","10","8","10","true","48","2"
"319","38","9","practice",,"2025-06-04 08:01:30.564635","23","47","10","true","44","2"
"320","43","9","practice",,"2025-06-04 08:01:35.504588","10","11","10","true","59","2"
"321","42","9","practice",,"2025-06-04 08:01:41.172354","10","5","10","true","105","2"
"322","45","9","practice",,"2025-06-04 08:01:46.429238","11","14","10","true","116","2"
"324","40","9","practice",,"2025-06-04 08:02:12.993781","15","24","10","true","26","2"
"326","38","9","practice",,"2025-06-04 08:02:26.880264","10","0","10","true","73","3"
"329","46","9","practice",,"2025-06-04 08:02:31.331787","17","48","10","true","64","2"
"332","49","9","practice",,"2025-06-04 08:02:36.539713","10","1","10","true","77","2"
"334","48","9","practice",,"2025-06-04 08:02:45.777313","10","5","10","true","70","2"
"338","37","8","practice",,"2025-06-04 08:03:03.643461","11","11","10","true","109","2"
"339","36","8","practice",,"2025-06-04 08:03:05.859159","13","4","10","true","83","2"
"341","40","8","practice",,"2025-06-04 08:03:18.049902","10","10","10","true","53","2"
