detail_id,session_id,question_id,selected_answer,is_correct,response_time,created_at
3089,576,267,4,False,80,2025-06-04 08:28:34.343714
3091,576,267,3,False,81,2025-06-04 08:28:34.903569
3092,576,267,1,True,81,2025-06-04 08:28:35.097322
3096,576,267,2,False,82,2025-06-04 08:28:35.619282
3084,576,269,2,True,79,2025-06-04 08:28:33.165290
3024,576,292,1,False,67,2025-06-04 08:28:20.874675
3025,576,292,2,True,67,2025-06-04 08:28:20.949346
3032,576,292,4,False,67,2025-06-04 08:28:21.356949
3033,576,292,3,False,68,2025-06-04 08:28:21.556663
3046,576,305,1,False,70,2025-06-04 08:28:24.298130
3047,576,305,3,True,70,2025-06-04 08:28:24.299323
3049,576,305,4,False,71,2025-06-04 08:28:24.526090
3044,576,333,1,True,69,2025-06-04 08:28:22.779680
3009,576,335,1,False,65,2025-06-04 08:28:18.799899
3010,576,335,3,False,65,2025-06-04 08:28:19.044682
3012,576,335,4,False,66,2025-06-04 08:28:19.663755
3015,576,335,2,True,66,2025-06-04 08:28:19.992417
2982,579,375,2,True,16,2025-06-04 08:28:10.224817
2978,579,382,2,True,14,2025-06-04 08:28:07.609750
3011,579,385,3,True,26,2025-06-04 08:28:19.573183
3004,579,395,3,True,24,2025-06-04 08:28:17.511704
3045,579,407,3,True,30,2025-06-04 08:28:23.516080
2986,579,417,2,False,18,2025-06-04 08:28:11.784431
2998,579,417,4,False,21,2025-06-04 08:28:14.417353
3000,579,417,3,True,21,2025-06-04 08:28:14.958141
2967,579,446,2,True,3,2025-06-04 08:27:57.491961
3052,579,449,3,False,31,2025-06-04 08:28:24.813237
3054,579,449,2,False,32,2025-06-04 08:28:26.173694
3057,579,449,4,True,33,2025-06-04 08:28:26.925551
3035,579,460,3,True,28,2025-06-04 08:28:21.754161
2973,579,467,2,True,9,2025-06-04 08:28:03.153982
3121,583,359,1,True,46,2025-06-04 08:28:43.344003
2975,583,362,2,True,8,2025-06-04 08:28:05.975482
3016,583,371,2,True,22,2025-06-04 08:28:20.036404
3042,583,387,3,True,25,2025-06-04 08:28:22.738592
3053,583,391,2,True,28,2025-06-04 08:28:25.337300
2987,583,402,4,True,14,2025-06-04 08:28:12.039974
2999,583,405,3,True,17,2025-06-04 08:28:14.454435
3002,583,409,4,True,19,2025-06-04 08:28:16.948031
2972,583,437,3,True,4,2025-06-04 08:28:02.022167
3088,583,484,2,True,36,2025-06-04 08:28:33.952064
2984,584,256,3,True,9,2025-06-04 08:28:11.331821
3040,584,270,3,True,21,2025-06-04 08:28:22.529027
2979,584,287,2,True,6,2025-06-04 08:28:07.947985
2974,584,294,4,True,3,2025-06-04 08:28:05.251610
2996,584,295,1,True,12,2025-06-04 08:28:14.151337
3090,584,304,1,False,33,2025-06-04 08:28:34.702466
3100,584,304,2,False,34,2025-06-04 08:28:36.024725
3103,584,304,4,False,35,2025-06-04 08:28:37.002245
3105,584,304,3,True,36,2025-06-04 08:28:37.703890
3007,584,307,1,True,17,2025-06-04 08:28:18.703102
3072,584,310,1,True,29,2025-06-04 08:28:30.693396
3055,584,323,3,True,24,2025-06-04 08:28:26.641295
3123,584,342,2,True,42,2025-06-04 08:28:44.239390
3124,584,342,4,False,42,2025-06-04 08:28:44.343447
3059,585,396,4,True,22,2025-06-04 08:28:27.223796
2992,585,398,2,False,8,2025-06-04 08:28:12.980227
2993,585,398,1,False,8,2025-06-04 08:28:13.064913
2995,585,398,3,True,9,2025-06-04 08:28:14.024194
2997,585,398,4,False,9,2025-06-04 08:28:14.221864
3050,585,403,3,True,20,2025-06-04 08:28:24.539174
2976,585,420,2,True,2,2025-06-04 08:28:06.866805
2977,585,420,1,False,3,2025-06-04 08:28:07.355815
3071,585,426,2,False,26,2025-06-04 08:28:30.586887
3074,585,426,3,True,26,2025-06-04 08:28:31.232513
3003,585,461,4,False,12,2025-06-04 08:28:17.017178
3006,585,461,3,True,13,2025-06-04 08:28:18.142191
3008,585,461,2,False,14,2025-06-04 08:28:18.713203
3102,585,473,4,True,31,2025-06-04 08:28:36.580863
3013,585,493,3,False,15,2025-06-04 08:28:19.718845
3018,585,493,1,False,15,2025-06-04 08:28:20.284644
3022,585,493,4,False,16,2025-06-04 08:28:20.826692
3031,585,493,2,True,16,2025-06-04 08:28:21.211107
3109,585,495,3,False,35,2025-06-04 08:28:39.321972
3111,585,495,1,False,35,2025-06-04 08:28:39.709664
3113,585,495,2,True,35,2025-06-04 08:28:39.986885
3116,585,495,4,False,36,2025-06-04 08:28:40.629866
2980,585,507,3,False,3,2025-06-04 08:28:08.163062
2981,585,507,4,False,4,2025-06-04 08:28:08.867997
2983,585,507,2,False,6,2025-06-04 08:28:10.354342
2988,585,507,1,True,7,2025-06-04 08:28:12.211622
3001,586,262,2,True,8,2025-06-04 08:28:15.633788
3023,586,344,4,False,14,2025-06-04 08:28:20.859711
3039,586,344,3,True,15,2025-06-04 08:28:22.322781
3064,587,244,3,True,19,2025-06-04 08:28:28.103441
3232,587,248,2,True,63,2025-06-04 08:29:11.457229
3137,587,254,3,True,44,2025-06-04 08:28:52.762377
3161,587,260,2,True,49,2025-06-04 08:28:58.365054
3005,587,264,4,True,9,2025-06-04 08:28:17.790131
2990,587,267,1,True,4,2025-06-04 08:28:12.771556
3216,587,291,2,True,58,2025-06-04 08:29:06.592982
3075,587,299,2,True,23,2025-06-04 08:28:31.798630
3043,587,303,3,True,14,2025-06-04 08:28:22.772534
3127,587,305,3,True,37,2025-06-04 08:28:45.925525
3101,590,387,4,False,7,2025-06-04 08:28:36.464128
3104,590,387,2,False,8,2025-06-04 08:28:37.409832
3108,590,387,3,True,9,2025-06-04 08:28:38.514780
3117,590,391,3,False,11,2025-06-04 08:28:40.751362
3118,590,391,1,False,12,2025-06-04 08:28:41.895049
3130,590,391,2,True,22,2025-06-04 08:28:51.916301
3110,590,405,3,True,10,2025-06-04 08:28:39.596535
3142,590,443,2,False,24,2025-06-04 08:28:53.480786
3368,591,233,3,True,95,2025-06-04 08:30:09.828882
3233,591,235,4,True,37,2025-06-04 08:29:11.534199
3126,591,236,3,True,10,2025-06-04 08:28:44.547062
3145,591,237,1,True,21,2025-06-04 08:28:55.460598
3315,591,239,2,True,55,2025-06-04 08:29:29.635116
3196,591,241,2,True,29,2025-06-04 08:29:03.461953
3322,591,243,3,True,62,2025-06-04 08:29:36.050249
3107,591,262,2,True,4,2025-06-04 08:28:38.340998
3286,591,278,2,True,49,2025-06-04 08:29:22.875302
3334,591,292,1,False,75,2025-06-04 08:29:48.920764
3336,591,292,3,False,76,2025-06-04 08:29:49.995753
3338,591,292,2,True,77,2025-06-04 08:29:51.319286
3371,592,268,1,True,83,2025-06-04 08:30:14.468057
3375,592,295,1,True,88,2025-06-04 08:30:18.436397
3156,592,297,3,False,7,2025-06-04 08:28:57.723937
3162,592,297,2,True,8,2025-06-04 08:28:58.476431
3217,592,304,3,True,16,2025-06-04 08:29:06.736234
3197,592,315,3,True,13,2025-06-04 08:29:03.599540
3387,592,324,3,False,92,2025-06-04 08:30:22.976015
3151,593,236,1,False,6,2025-06-04 08:28:56.890804
3152,593,236,2,False,6,2025-06-04 08:28:57.275380
